X,Y,X_U,Y_U,
12.2,171.6652074264969,0.0,0.0,
12.3,164.85002529798066,0.0,0.0,
12.4,158.6326458221819,0.0,0.0,
12.5,153.12156867148425,0.0,0.0,
12.6,148.40889534554972,0.0,0.0,
12.7,144.56782126007502,0.0,0.0,
12.8,141.65061523284118,0.0,0.0,
12.9,139.68714064826077,0.0,0.0,
13.0,138.68395829478234,0.0,0.0,
13.1,138.62403551902239,0.0,0.0,
13.2,139.46707033256848,0.0,0.0,
13.3,141.15042286567058,0.0,0.0,
13.4,143.59063051636585,0.0,0.0,
13.5,146.6854677186559,0.0,0.0,
13.6,150.31649685745936,0.0,0.0,
13.7,154.35204387225983,0.0,0.0,
13.8,158.65052085942125,0.0,0.0,
13.9,163.0640088024025,0.0,0.0,
14.0,167.44200667263624,0.0,0.0,
14.1,171.63524873400755,0.0,0.0,
14.2,175.49949006747616,0.0,0.0,
14.3,178.8991611576113,0.0,0.0,
14.4,181.71079582790554,0.0,0.0,
14.5,183.82614278562326,0.0,0.0,
14.6,185.1548793816148,0.0,0.0,
14.7,185.62685668523116,0.0,0.0,
14.8,185.1938173415578,0.0,0.0,
14.9,183.8305415904369,0.0,0.0,
15.0,181.5353919160776,0.0,0.0,
15.1,178.33024266322158,0.0,0.0,
15.2,174.25979718102153,0.0,0.0,
15.3,169.39031120973405,0.0,0.0,
15.4,163.80775688064864,0.0,0.0,
15.5,157.61547644222017,0.0,0.0,
15.6,150.93138826516915,0.0,0.0,
15.7,143.8848194608927,0.0,0.0,
15.8,136.61304925933126,0.0,0.0,
15.9,129.25765487507553,0.0,0.0,
16.0,121.96075674359358,0.0,0.0,
16.1,114.8612625969898,0.0,0.0,
16.2,108.09120980255355,0.0,0.0,
16.3,101.77230270914687,0.0,0.0,
16.4,96.0127365075314,0.0,0.0,
16.5,90.90439145014074,0.0,0.0,
16.6,86.52047139679699,0.0,0.0,
16.7,82.91364881738289,0.0,0.0,
16.8,80.1147649042611,0.0,0.0,
16.9,78.13211868349242,0.0,0.0,
17.0,76.95136335589207,0.0,0.0,
17.1,76.53601196157926,0.0,0.0,
17.2,76.82853827250031,0.0,0.0,
17.3,77.75204300537112,0.0,0.0,
17.4,79.21244043151562,0.0,0.0,
17.5,81.10110663800025,0.0,0.0,
17.6,83.29791843247419,0.0,0.0,
17.7,85.67460150707977,0.0,0.0,
17.8,88.098298259633,0.0,0.0,
17.9,90.43525983070096,0.0,0.0,
18.0,92.55456360796428,0.0,0.0,
18.1,94.33175676200818,0.0,0.0,
18.2,95.65232832870348,0.0,0.0,
18.3,96.41491689099966,0.0,0.0,
18.4,96.53416791712921,0.0,0.0,
18.5,95.94316409744567,0.0,0.0,
18.6,94.59536334250485,0.0,0.0,
18.7,92.46599216074047,0.0,0.0,
18.8,89.55285657941154,0.0,0.0,
18.9,85.87654822481154,0.0,0.0,
19.0,81.48003922773998,0.0,0.0,
19.1,76.42767584281759,0.0,0.0,
19.2,70.80359663564094,0.0,0.0,
19.3,64.70961637707563,0.0,0.0,
19.4,58.26263098422556,0.0,0.0,
19.5,51.5916115865255,0.0,0.0,
19.6,44.834266735413394,0.0,0.0,
19.7,38.133460627169164,0.0,0.0,
19.8,31.6334817360793,0.0,0.0,
19.9,25.476260285926685,0.0,0.0,
20.0,19.797634414823175,0.0,0.0,
20.1,14.72376367344852,0.0,0.0,
20.2,10.367784671616041,0.0,0.0,
20.3,6.826797353639712,0.0,0.0,
20.4,4.179261706550891,0.0,0.0,
20.5,2.4828739161269673,0.0,0.0,
20.6,1.7729783692074073,0.0,0.0,
20.7,2.0615577905281195,0.0,0.0,
20.8,3.336828571492704,0.0,0.0,
20.9,5.563452399788258,0.0,0.0,
21.0,8.683359054418286,0.0,0.0,
21.1,12.617159120276524,0.0,0.0,
21.2,17.266109826010055,0.0,0.0,
21.3,22.514582629969865,0.0,0.0,
21.4,28.232967957187444,0.0,0.0,
21.5,34.2809409752756,0.0,0.0,
21.6,40.51100279350297,0.0,0.0,
21.7,46.77220422835369,0.0,0.0,
21.8,52.91395449210045,0.0,0.0,
21.9,58.78981495476605,0.0,0.0,
22.0,64.26117856250305,0.0,0.0,
22.1,69.20073855521625,0.0,0.0,
22.2,73.49565573198528,0.0,0.0,
22.3,77.05034151593198,0.0,0.0,
22.4,79.78878425858711,0.0,0.0,
22.5,81.65635832768037,0.0,0.0,
22.6,82.62106922105104,0.0,0.0,
22.7,82.67420288030723,0.0,0.0,
22.8,81.83036314560093,0.0,0.0,
22.9,80.12689747995877,0.0,0.0,
23.0,77.62272726947485,0.0,0.0,
23.1,74.39661474604891,0.0,0.0,
23.2,70.54491346558821,0.0,0.0,
23.3,66.17886291265853,0.0,0.0,
23.4,61.421499831534284,0.0,0.0,
23.5,56.404268985138785,0.0,0.0,
23.6,51.26342395023985,0.0,0.0,
23.7,46.13631406034752,0.0,0.0,
23.8,41.15765656160193,0.0,0.0,
23.9,36.45589337360866,0.0,0.0,
24.0,32.149729538329446,0.0,0.0,
24.1,28.344945557212966,0.0,0.0,
24.2,25.13156848938472,0.0,0.0,
24.3,22.581477106263932,0.0,0.0,
24.4,20.74650482439263,0.0,0.0,
24.5,19.6570908753684,0.0,0.0,
24.6,19.32151557112434,0.0,0.0,
24.7,19.725739971381753,0.0,0.0,
24.8,20.833854170090813,0.0,0.0,
24.9,22.589122215496282,0.0,0.0,
25.0,24.915595793537662,0.0,0.0,
25.1,27.720253657622326,0.0,0.0,
25.2,30.895609780861452,0.0,0.0,
25.3,34.32272071091881,0.0,0.0,
25.4,37.8745119539655,0.0,0.0,
25.5,41.41933468534805,0.0,0.0,
25.6,44.824657906692,0.0,0.0,
25.7,47.960797506237796,0.0,0.0,
25.8,50.704582628614055,0.0,0.0,
25.9,52.94286135017389,0.0,0.0,
26.0,54.57575184471281,0.0,0.0,
26.1,55.519551901282995,0.0,0.0,
26.2,55.7092286444476,0.0,0.0,
26.3,55.10042136998659,0.0,0.0,
26.4,53.67090325313659,0.0,0.0,
26.5,51.42146197209884,0.0,0.0,
26.6,48.37617463876451,0.0,0.0,
26.7,44.5820684351834,0.0,0.0,
26.8,40.10817459460038,0.0,0.0,
26.9,35.04399941006082,0.0,0.0,
27.0,29.497451376944124,0.0,0.0,
27.1,23.59227797005147,0.0,0.0,
27.2,17.46507853998419,0.0,0.0,
27.3,11.261971043746787,0.0,0.0,
27.4,5.134999503445579,0.0,0.0,
27.5,0.7616240284337471,0.0,0.0,
27.6,6.275344810756239,0.0,0.0,
27.7,11.259058061612382,0.0,0.0,
27.8,15.574769738679041,0.0,0.0,
27.9,19.097029725518603,0.0,0.0,
28.0,21.716047673199974,0.0,0.0,
28.1,23.340410093364955,0.0,0.0,
28.2,23.89932779565864,0.0,0.0,
28.3,23.34435513162258,0.0,0.0,
28.4,21.650536421518996,0.0,0.0,
28.5,18.816950032002005,0.0,0.0,
28.6,14.866636441840699,0.0,0.0,
28.7,9.845912860211401,0.0,0.0,
28.8,3.823093118129004,0.0,0.0,
28.9,3.1133527889904618,0.0,0.0,
29.0,10.85715038501469,0.0,0.0,
29.1,19.28702105854699,0.0,0.0,
29.2,28.26985672204874,0.0,0.0,
29.3,37.664184622724356,0.0,0.0,
29.4,47.323830558651935,0.0,0.0,
29.5,57.10168359860644,0.0,0.0,
29.6,66.8534628146033,0.0,0.0,
29.7,76.44138658049603,0.0,0.0,
29.8,85.73764766637342,0.0,0.0,
29.9,94.6276025957147,0.0,0.0,
30.0,103.0125913911676,0.0,0.0,
